,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21
PIB_Croissance,0.35490600329454475,-0.3196221295184529,-0.1255484054507224,0.6583133958160778,-0.10506652058845505,0.19958477308360958,-0.07122356644666902,0.1403541866113255,-0.2593788251432131,0.29008211856745253,0.07486141820794308,-0.17123938709329484,0.2505092022971498,0.04613462718502542,0.0025572580072574713,0.014780349589177446,-0.015881711503532694,-0.024695686813301976,-0.01361069283163126,0.009731467932392173,0.009134868373434274
Inflation,0.15536356564728748,0.30022326768014174,0.6745253818605141,0.1811593109318083,-0.5127949217561418,-0.06405912812547572,0.015659731005289255,0.2202939901288698,0.026329556095483677,-0.1256781195526272,-0.18324653469610436,-0.053551665234721345,-0.0050998861553064835,0.142116802317608,0.006973849582335774,0.11285307457643111,0.03763852392510421,0.0034103153334359734,-0.011955067616623093,-0.004713189917522542,-0.011760274788349873
Taux_Directeur,-0.7086957542985152,-0.13839037785487743,0.20192928579733682,-0.056615469923736866,-0.004958893680860996,0.045018113894595306,-0.07779695438989004,-0.07898384838942256,-0.2204023513876393,0.16531476922883045,0.05167757460459433,0.16003036727456646,-0.1529958218986638,0.26094233543654033,0.43415180025310957,-0.19558099766204923,0.02974971556990535,0.0005779887563420296,0.017212465687208363,0.04685683158927641,0.00776097187408826
Taux_Change,0.4700840189136261,-0.14139947905405212,-0.23766334635521422,-0.2287575779505026,0.19332126988178827,-0.31869889592209205,0.011814177508102286,0.5143057049988564,-0.2988298052810114,-0.12832811519252466,-0.3381670109452499,-0.0801944270478745,0.07316549332162887,0.06560346581800879,0.11372838029790032,0.01784385981574322,0.04917532032610259,-0.0029505896467198647,0.0127448416341465,-0.012195513400278296,0.002191725683617213
Chomage,-0.6318731604398247,0.014717235731643973,-0.1071561209972789,-0.25969714558134094,-0.22056060197458446,0.11260185316933441,0.009689206405320385,0.08604371830480857,0.22805842799284667,0.18975242055019328,-0.1418035072256209,0.3130109040428476,0.4736410832442106,-0.050226597868867184,0.087383993940564,0.08339684331070293,-0.016730475545868408,-0.09874586862840744,0.000788145662508725,0.02449072011371405,0.013280092294694122
Balance_Commerciale,0.3039851107526399,-0.351035438254227,0.25884354294871265,-0.2407591765346352,0.053505227002622904,0.6320836235008027,0.3251765242827326,-0.05717395771323726,-0.27875785541470166,-0.08651833401315853,-0.2205773026117431,0.05611950451194518,-0.03777606738591144,-0.07603581928703602,-0.08981664770343782,0.01649307753847683,-0.02196769956960363,0.007408091646829636,-0.01652622640611478,-0.015266931722818488,-0.001167006751568158
Reserves_Change,0.8329642831260737,0.055766138796989835,0.07930387904638253,-0.06468513435987008,-0.06006887833808622,-0.0808886445625178,-0.010455996890353267,-0.053211983891881795,-0.03528433853248585,-0.038474801072517675,0.05003273756169844,0.05536134619497133,0.1984964810194848,-0.053886357698338945,0.10925348500741759,-0.1020298281627333,-0.3054325840012494,0.3428476449829491,-0.013840283779813238,-0.032523148911598826,-0.007385436809713669
Prod_Industrielle,0.9228692680095519,0.02955663624851326,-0.029920324348858093,-0.05781034011808342,-0.02723217443606817,0.008258557300787102,-0.008040980837183803,0.005581715134104088,0.0072748645723761446,-0.047188545790317296,0.04501082980065273,-0.006680324486276561,-0.04581406774830476,-0.03327037287710646,0.04031020552438909,0.03952796657467415,-0.11681278288415758,-0.11107132105765077,-0.05589466836701662,0.317493286366049,-0.08503336720053149
Confiance_Menages,0.4048552882170957,-0.34196281441929943,0.2956016986459441,-0.4014069145063745,-0.058487748595577406,-0.25108388569316575,-0.32862536114167856,-0.33238972172328307,-0.11359503255106485,0.28155306122683277,-0.043815113148020966,-0.24315426492453532,0.10788364913320272,-0.023962030910807022,-0.07052768105657244,0.10858394154896293,0.09452600710089405,0.009711536476833028,-0.006055126195821308,0.005093540968325734,0.0011673447517126449
MASI_Indice,0.9392133145415461,0.03827223939156271,0.07171314979997302,-0.023759445796180893,-0.004109741015174819,-0.02036428215025987,0.013346963319039631,-0.025701530693760365,0.006735091891540623,-0.07624411521882199,0.09820051983477185,0.021671889890010492,-0.016656500291279252,-0.03676928633209687,0.07856310909917875,0.028083915644003886,-0.06351298770806263,-0.1271147475434795,0.027692501979055647,0.02259168877317814,0.2626622192647499
MASI_Rendement,-0.22345104954498163,-0.30217404338457426,0.5755612566954332,0.10700294706958621,0.537517728969094,-0.04068992536809258,-0.1151722372652452,0.3115588704279949,0.24243193134058427,-0.0035929936295204332,0.1611178993973065,0.08018325837308682,0.0802094900320458,-0.14939060622867834,0.001734329725812563,-0.013734667691788575,-0.010345307943238687,-0.011528403351304827,-0.006428487886073389,0.013662587323636457,-0.011267438769867777
Volume_Echange,0.6991501741991337,-0.12721063247823222,-0.011484842912621196,0.008675545560903225,0.19259098392260268,-0.09015544582574422,0.11776301130093186,-0.04637175520819158,0.0803841868006941,0.08830907223122075,0.04413073991013382,0.2742166515709657,0.00990403169722666,0.5301345297763892,-0.2156864215059305,0.12130894265391294,-0.01099067402590642,0.029288852629478675,-0.06514361207074948,-0.012000192999909235,0.0014914109965988777
Volatilite,-0.23737717347105827,0.6410987560901309,0.06028263687411449,-0.3122210275874836,0.1668289973655488,0.29731359398765894,-0.20695812543450212,0.21068282407132652,-0.26995429517684705,0.07633889423563994,0.2971030119296384,-0.14115548564190852,0.1337686347704774,0.12877653355128466,-0.10857986741037103,-0.016758107837127143,-0.006344182149766024,-0.009457984559758529,-0.00713038262984134,0.003943829678974001,0.0051865505041249205
Capitalisation,0.8855971350796439,0.025096649493446446,0.027599253607252017,-0.048837700019620595,-0.04239621281277019,-0.022316552926634158,-0.05418355744599903,-0.05417575135810158,0.0045795807514666526,-0.07267409709127688,0.081429760346927,0.01358286277096379,0.04285028681720664,-0.03177756751111277,0.11426021795550136,-0.14274517047235813,-0.05282001362195137,-0.24139541075417026,-0.259416799412742,-0.16661410250324898,-0.06961979266865023
Societes_Cotees,0.8924990963599986,0.03383936361644261,0.058300836662116835,-0.0032499662917533146,-0.0031192217834333643,-0.02114820265757291,-0.01021037205449395,-0.04628755827038796,-0.0685922879113824,0.004472925132291954,0.09997677589752274,0.11013901731925592,0.01104646695380573,0.0017117453070148601,0.03659663292880997,0.029677699904465997,-0.07502709526099718,-0.15823640858505983,0.3555980218333387,-0.08763232217499478,-0.08820675825208152
PER,0.4256781797877103,-0.3821359466988481,-0.14832419083792245,-0.285813809241826,-0.35762146530167327,0.2086919617606564,-0.09054113459209961,0.3707807038951219,0.3599174521868622,0.10215148522978912,0.17681656082406239,-0.1356149104104927,-0.17636182783201523,0.08896006928035602,-0.04294728085965241,-0.1520541443641174,0.008512362736604535,0.04532792296381944,0.03861648607396711,-0.017378457707059546,0.0034757179656500466
Div_Yield,-0.4290706849165235,-0.1240722690430069,0.0863600176786765,-0.144279122030368,-0.15977723668869476,-0.3222497678731304,0.6615366269059264,0.07776772730243355,-0.17650414957512534,0.08117767310342484,0.39166051879776,-0.05730142109062804,0.06628968094131533,-0.06343350095639154,-0.015079763568938693,0.025747067707704283,0.014949825366408332,-0.019746044850770427,-0.01769446337279416,0.006132968221085937,-0.008172556934573407
Sect_Bancaire,0.7912519381172346,0.03808505797947432,0.034100584042990274,0.048830551323448566,-0.016109199383356337,0.010424861196521938,0.05219944138912691,-0.11297558191702907,0.0201193131109923,-0.22455671312634842,0.06358638925758145,0.06873665731194441,0.26373018530371223,0.008469086795588745,-0.04202836503794825,-0.30571800395896637,0.35225733720437236,0.07116112245202805,0.04127994551249785,0.05783270858461744,-0.0011396946952332283
Sect_Telecoms,0.6283017192072445,0.2553531404288272,0.04757356811029949,0.0362624417191408,-0.054821051614215466,-0.10967888749384816,-0.009952242596512922,0.15726493887966553,-0.15179426054227496,0.4582413166103168,-0.09890499563992021,0.32379941123317985,-0.22620111885749694,-0.24604404023807425,-0.14535309796980797,-0.11746738079106409,0.07212746369930954,0.038292708157331046,-0.033820502645964264,0.0014164638134140858,0.00859498345278181
Sect_Industrie,0.7768311649822605,0.07087131299012975,-0.11365052708745405,-0.009345021903463455,0.03517312808674183,0.1779559748741677,-0.005149294210646959,0.036973536369339186,0.053104166991132164,0.00607787372574644,0.19811346607000807,0.0717136568593535,-0.07088092421441379,-0.09673189708401601,0.27959051860094114,0.37636383974002585,0.21616896406565086,0.1320476698935841,-0.04628240934165742,-0.03690506875643468,-0.025964955605596696
Sect_Immobilier,0.503570041523899,0.3275438579531602,0.057196527699839315,0.0044801609722124065,0.2751846226408921,0.07714926453293129,0.3918206837722307,-0.06635807355797703,0.32514973911967743,0.3292740701207625,-0.23377686937182435,-0.3156829284457759,0.031185821369298556,0.07534872389396388,0.14310738275894513,-0.07297287246335529,0.011696211416221163,-0.006434786481442682,0.026341880555303565,-0.005299076826400398,-0.003981291475450193
